Pos.X,Pos.Y,Pos.Z,Latitude,Longitude,Altitude
4437122.442446948,3085040.9534808584,3376235.9504174106,32.167910334645974,34.81010333157508,54.36618359293789
4437117.029086484,3085034.858942474,3376234.1224209806,32.16793442360967,34.81008304292345,46.68556780554354
4437141.640997208,3085029.842363062,3376251.1478903955,32.16798111809576,34.809890417018984,70.43139672279358
4437115.870210865,3085028.9539118847,3376224.640369307,32.167882794234266,34.810038654513846,37.978404922410846
4437124.0600149855,3085021.4927674807,3376234.1828306103,32.167943802573454,34.80992413962932,45.14542936068028
4437133.239790189,3085015.343266508,3376237.8562260885,32.16795251142133,34.809815050962385,50.509627723135054
4437117.597658947,3085008.043662071,3376223.851737324,32.167927274757936,34.809846179003934,28.654780730605125
4435930.876467636,3084985.7167896824,3374984.4282221072,32.16320396159379,34.816835446293744,-1466.7369784126058
4435930.771922576,3084983.660249028,3374986.2017270504,32.16322355391889,34.816818175587606,-1466.8595355609432
4437143.611938078,3084999.91244531,3376238.9220890366,32.16796205281762,34.80961795342192,50.82937016617507
4437149.516304838,3084996.9662880483,3376236.683455195,32.167929763682835,34.80955657312481,52.31749401148409
4437164.767285195,3084995.319734703,3376236.0552278324,32.167869361485444,34.8094499384683,61.78704976197332
4437133.24671148,3084973.29002521,3376238.480637114,32.168072508242304,34.809448940630844,30.52588869445026
4437164.130834142,3084979.5816738647,3376241.5682288636,32.167957087850986,34.80931679256775,56.67492583114654
4437180.599582741,3084973.349662246,3376237.181303278,32.167875760152214,34.80916287250729,62.773981623351574
4437150.069804641,3084962.0214974275,3376234.242978419,32.168004726598625,34.80924903245888,34.51691744476557
4437155.424564972,3084958.821262451,3376241.7516327784,32.16804970679007,34.80918876676676,40.68980289623141
4437160.9663696075,3084954.080243231,3376244.7187952944,32.16806350462861,34.80911395668766,43.83025600668043
4437166.645593489,3084948.68368452,3376249.8023747425,32.16809471313815,34.80903260854811,47.87625175900757
4437174.439302058,3084940.1015757495,3376254.1385267894,32.16812061128719,34.80891073330788,51.4546369118616
4437176.164461035,3084938.0759089454,3376253.5124043347,32.1681145828376,34.808882659129466,51.34148011729121
4437181.643580274,3084933.733832771,3376253.5458126334,32.16810513920895,34.808811701387185,53.069226116873324
4437166.465631742,3084929.3343567015,3376246.7150927763,32.1681248865731,34.8088652625833,36.75766834709793
4437192.078541444,3084926.906691647,3376263.051409064,32.168155276471616,34.80868911818919,62.08363163843751
4437204.462702665,3084924.160762785,3376258.2335752724,32.16807720599321,34.80859026537453,66.79899394605309
4437199.955408927,3084926.6304048453,3376271.378844353,32.16818855030204,34.8086390418602,71.85829206928611
4437198.507105312,3084935.7560705123,3376285.2457909607,32.168275102473636,34.80872724555173,82.64414487965405
4437173.626485413,3084918.092762566,3376267.0164316525,32.16828243931797,34.80872406643972,47.11112496908754
4435382.324837881,3084051.2030795543,3374431.5384485265,32.16370664632631,34.81202012207159,-2593.9613587595522
4437180.298070101,3084930.9696201608,3376277.3626054507,32.168299825542036,34.80879578217039,63.47859463561326
4437174.5934569035,3084919.8839228633,3376284.2932512257,32.16840560152148,34.808733806272414,57.84702002629638
4437162.800691107,3084917.2640241403,3376282.674858915,32.168446916088364,34.8087823711006,47.52323158085346
